key	title	year	authors	url	v1_decision	v1_reason	doi
rayyan-641977794	Audio-based snore detection using deep neural networks.	2021	Xie J and Aubert X and Long X and van Dijk J and Arsenali B and Fonseca P and Overeem S	https://pubmed.ncbi.nlm.nih.gov/33434817/	Include	IC2	10.1016/j.cmpb.2020.105917
rayyan-641977795	SST: a snore shifted-window transformer method for potential obstructive sleep apnea patient diagnosis.	2024	Luo J and Zhao Y and Liu H and Zhang Y and Shi Z and Li R and Hei X and Ren X	https://pubmed.ncbi.nlm.nih.gov/38316023/	Include	IC1, IC2	10.1088/1361-6579/ad262b
rayyan-641977796	Fetal Sleep: A Cross-Species Review of Physiology, Measurement, and Classification	2025	Weitao Tang and Johann Vargas-Calixto and Nasim Katebi and Robert Galinsky and Gari D. Clifford and Faezeh Marzbanrad	http://arxiv.org/abs/2506.21828v2	Exclude	EC-I	10.1093/sleep/zsag003
rayyan-641977797	A Review of the Non-Invasive Techniques for Monitoring Different Aspects of Sleep	2021	Zawar Hussain and Quan Z. Sheng and Wei Emma Zhang and Jorge Ortiz and Seyedamin Pouriyeh	http://arxiv.org/abs/2104.12964v2	Include	IC-P	10.1145/3491245
rayyan-641977798	Development of an IoT-Based Sleep Apnea Monitoring System for Healthcare Applications	2022	Abdur Rab Dhruba and Kazi Nabiul Alam and Md Shakib Khan and Sami Bourouis and Mohammad Monirujjaman Khan	http://arxiv.org/abs/2209.05449v1	Exclude	EC-I	10.1155/2021/7152576
rayyan-641977799	AIOSA: An approach to the automatic identification of obstructive sleep apnea events based on deep learning	2023	Andrea Bernardini and Andrea Brunello and Gian Luigi Gigli and Angelo Montanari and Nicola Saccomanno	http://arxiv.org/abs/2302.05179v1	Exclude	EC-I	10.1016/j.artmed.2021.102133
rayyan-641977800	A Large Collection of Real-world Pediatric Sleep Studies	2021	Harlin Lee and Boyue Li and Shelly DeForte and Mark Splaingard and Yungui Huang and Yuejie Chi and Simon Lin Linwood	http://arxiv.org/abs/2102.13284v4	Exclude	EC-I	10.1038/s41597-022-01545-6
rayyan-641977801	Automatic Home-based Screening of Obstructive Sleep Apnea Using Single Channel Electrocardiogram and SPO2 Signals	2021	Hosna Ghandeharioun	http://arxiv.org/abs/2110.00660v2	Exclude	EC2	10.5121/ijaia.2021.12605
rayyan-641977802	A 1D-CNN Based Deep Learning Technique for Sleep Apnea Detection in IoT Sensors	2021	Arlene John and Barry Cardiff and Deepu John	http://arxiv.org/abs/2105.00528v1	Exclude	EC2	10.1109/iscas51556.2021.9401300.
rayyan-641977803	Energy-Efficient Real-Time 4-Stage Sleep Classification at 10-Second Resolution	2025	Zahra Mohammadi and Parnian Fazel and Siamak Mohammadi	http://arxiv.org/abs/2508.11664v2	Exclude	EC-I	10.1007/s11517-026-03616-x
rayyan-641977804	Permutation time irreversibility in sleep electroencephalograms: Dependence on sleep stage and the effect of equal values	2024	Wenpo Yao	http://arxiv.org/abs/2405.02802v1	Exclude	EC-I	10.1103/physreve.109.054104
rayyan-641977805	Toward Foundational Model for Sleep Analysis Using a Multimodal Hybrid Self-Supervised Learning Framework	2025	Cheol-Hui Lee and Hakseung Kim and Byung C. Yoon and Dong-Joo Kim	http://arxiv.org/abs/2502.17481v3	Exclude	EC-I	10.1109/tcyb.2025.3603608
rayyan-641977806	Multi-Scored Sleep Databases: How to Exploit the Multiple-Labels in Automated Sleep Scoring	2022	Luigi Fiorillo and Davide Pedroncelli and Valentina Agostini and Paolo Favaro and Francesca Dalia Faraci	http://arxiv.org/abs/2207.01910v3	Include	IC-I	10.1093/sleep/zsad028
rayyan-641977807	BreathAI: Transfer Learning-Based Thermal Imaging for Automated Breathing Pattern Recognition	2026	Hamza Kheddar and Yassine Himeur and Abbes Amira	http://arxiv.org/abs/2604.17442v1	Exclude	EC-I	10.1109/icip55913.2025.11084681
rayyan-641977808	Comparison analysis between standard polysomnographic data and in-ear-EEG signals: A preliminary study	2024	Gianpaolo Palo and Luigi Fiorillo and Giuliana Monachino and Michal Bechny and Michel Walti and Elias Meier and Francesca Pentimalli Biscaretti di Ruffia and Mark Melnykowycz and Athina Tzovara and Valentina Agostini and Francesca Dalia Faraci	http://arxiv.org/abs/2401.10107v4	Exclude	EC-I	10.1093/sleepadvances/zpae087
rayyan-641977809	Data-Efficient Sleep Staging with Synthetic Time Series Pretraining	2024	Niklas Grieger and Siamak Mehrkanoon and Stephan Bialonski	http://arxiv.org/abs/2403.08592v2	Exclude	EC-I	10.3390/a18090580
rayyan-641977810	Wital: A COTS WiFi Devices Based Vital Signs Monitoring System Using NLOS Sensing Model	2023	Xiang Zhang and Yu Gu and Huan Yan and Yantong Wang and Mianxiong Dong and Kaoru Ota and Fuji Ren and Yusheng Ji	http://arxiv.org/abs/2305.14490v1	Exclude	EC-I	10.1109/thms.2023.3264247
rayyan-641977811	From Sleep Staging to Spindle Detection: A Case Study on End-to-End Automated Sleep Analysis	2025	Niklas Grieger and Siamak Mehrkanoon and Philipp Ritter and Stephan Bialonski	http://arxiv.org/abs/2505.05371v2	Exclude	EC-I	10.1038/s41598-026-53891-9
rayyan-641977812	Thermal Imaging and Radar for Remote Sleep Monitoring of Breathing and Apnea	2024	Kai Del Regno and Alexander Vilesov and Adnan Armouti and Anirudh Bindiganavale Harish and Selim Emir Can and Ashley Kita and Achuta Kadambi	http://arxiv.org/abs/2407.11936v2	Exclude	EC-I	
