title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
"Android-arduino platform for detecting and monitoring obstructive sleep apnea (osa)","2022","E Edwan; M Altubji; AA Jedyan","https://journals.alaqsa.edu.ps/index.php/sciences/article/download/116/26","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-I, EC-E"
"Wearable sleep staging using photoplethysmography and accelerometry across sleep apnea severity: a focus on very severe sleep apnea","2026","S Ogaki; M Kaneda; T Nohara; S Fujita; N Osako","https://www.medrxiv.org/content/medrxiv/early/2026/05/28/2026.04.09.26350266.full.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-O","10.64898/2026.04.09.26350266.abstract","Exclude","EC-E, EC-N"
"Transforming sleep monitoring: review of wearable and remote devices advancing home polysomnography and their role in predicting neurological disorders","2025","D Vitazkova; H Kosnacova; D Turonova; E Foltan","https://www.mdpi.com/2079-6374/15/2/117","maybe","","","Exclude","EC-E, EC-N"
"Performance of consumer wrist-worn sleep tracking devices compared to polysomnography: a meta-analysis","2025","YJ Lee; JY Lee; JH Cho; YJ Kang; JH Choi","https://pmc.ncbi.nlm.nih.gov/articles/PMC11874098/","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C","10.5664/jcsm.11460","Exclude","EC-E, EC-I"
"Sleep Prediction Using Data from Oximeter, Accelerometer and Snoring from Biologix Sleep Study and Artificial Neural Network","2024","DM Domingues; PR Rocha; SQC Giampá","https://www.thieme-connect.com/products/ejournals/html/10.1055/s-0045-1811863","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.1055/s-0045-1811863","Exclude","EC-D"
"Apnea Events Detection using Low-Fidelity Proxy Signals","2026","M Singh; J Srivastava","https://ieeexplore.ieee.org/abstract/document/11634876/","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-D"
"Apnea-hypopnea index estimation using overnight chest-wall accelerometry","2026","F Schipper; P Fonseca; A Grassi; M Ross","https://www.frontiersin.org/journals/sleep/articles/10.3389/frsle.2026.1858267/pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.3389/frsle.2026.1858267/full","Exclude","EC-I"
"A novel portable real-time low-cost sleep apnea monitoring system based on the global system for mobile communications (GSM) network","2022","H Sümbül; AH Yüzer; K Şekeroğlu","https://pmc.ncbi.nlm.nih.gov/articles/PMC8759063/pdf/11517_2021_Article_2492.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1007/s11517-021-02492-x","Exclude","EC-I, EC-E"
"Evaluation of a novel smart mandibular advancement device for nightly monitoring of treatment","2025","AM Mohammadieh; BK Tong; GM Stewart","https://link.springer.com/article/10.5664/jcsm.11736","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","10.5664/jcsm.11736","Exclude","EC-D"
"Design and Implementation of IoT based sleep monitoring system for Insomniac people","2022","K Rajguru; P Tarpe; V Aswar; K Bawane","https://ieeexplore.ieee.org/abstract/document/9742803/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
